incident_id,speed_kmh,vehicle_age_years,vehicle_value_inr,occupants,airbag_deployed,collision_type,road_condition,weather,vehicle_type,insurance_type,seatbelt_worn,previous_accidents,driver_age,tyre_condition,collision_enc,road_enc,weather_enc,vehicle_type_enc,tyre_enc,damage_severity,parts_damaged,repair_cost_inr
522,89,8,2607249,4,1,Head-on,Dry,Clear,Sedan,Comprehensive,1,1,70,Good,1.8,1.0,1.0,1.0,1.0,Severe,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame",759900
738,88,1,2375712,1,1,Side,Wet,Clear,Hatchback,Comprehensive,1,2,68,Good,1.3,1.3,1.0,0.85,1.0,Severe,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame",522700
741,105,14,2620715,3,1,Rear-end,Gravel,Clear,Two-wheeler,Third-party,0,3,31,Good,1.0,1.2,1.0,0.6,1.0,Critical,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine",372600
661,21,7,1884973,3,0,Head-on,Gravel,Clear,Hatchback,Comprehensive,1,4,40,Bald,1.8,1.2,1.0,0.85,1.35,Minor,Bumper,478800
412,21,20,2538057,3,0,Side,Wet,Clear,Sedan,Third-party,1,0,68,Bald,1.3,1.3,1.0,1.0,1.35,Minor,Bumper,553000
679,105,8,765982,1,1,Rear-end,Dry,Fog,Sedan,Comprehensive,1,4,45,Good,1.0,1.0,1.15,1.0,1.0,Critical,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine",396600
627,98,17,2950235,5,1,Rear-end,Wet,Clear,Sedan,None,0,0,37,Good,1.0,1.3,1.0,1.0,1.0,Critical,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine",672400
514,34,19,474023,3,1,Rollover,Dry,Clear,Two-wheeler,Third-party,1,3,32,Good,2.2,1.0,1.0,0.6,1.0,Moderate,"Bumper, Door Panel",230800
860,94,3,770529,2,1,Side,Wet,Clear,Sedan,Third-party,1,2,36,Worn,1.3,1.3,1.0,1.0,1.15,Critical,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine",565300
137,120,9,2460682,2,1,Pole,Dry,Clear,Sedan,Comprehensive,1,0,49,Good,1.5,1.0,1.0,1.0,1.0,Total Loss,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",790500
812,113,15,1261703,4,1,Rear-end,Wet,Clear,SUV,Third-party,1,1,29,Good,1.0,1.3,1.0,1.3,1.0,Total Loss,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",739500
77,13,18,1838112,2,0,Rollover,Wet,Rain,Sedan,Third-party,1,3,23,Worn,2.2,1.3,1.25,1.0,1.15,Minor,Bumper,928700
637,117,19,2275608,5,1,Rear-end,Icy,Fog,Two-wheeler,Comprehensive,1,3,65,Bald,1.0,1.8,1.15,0.6,1.35,Total Loss,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",880900
974,119,15,2074329,4,1,Pole,Dry,Clear,Sedan,Comprehensive,1,3,63,Good,1.5,1.0,1.0,1.0,1.0,Total Loss,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",774800
939,100,13,676794,1,1,Side,Dry,Fog,Sedan,Third-party,1,1,57,Good,1.3,1.0,1.15,1.0,1.0,Critical,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine",491900
900,36,19,637913,3,0,Rollover,Wet,Rain,Hatchback,Comprehensive,1,1,47,Worn,2.2,1.3,1.25,0.85,1.15,Moderate,"Bumper, Door Panel",413100
281,40,9,2918760,3,0,Side,Dry,Clear,Truck,Comprehensive,1,2,45,Bald,1.3,1.0,1.0,1.5,1.35,Moderate,"Bumper, Door Panel",792100
884,33,20,2079685,4,0,Rear-end,Wet,Clear,Sedan,Third-party,1,2,41,Worn,1.0,1.3,1.0,1.0,1.15,Moderate,"Bumper, Door Panel",386300
762,76,14,1652790,5,1,Head-on,Gravel,Rain,SUV,Third-party,1,4,68,Good,1.8,1.2,1.25,1.3,1.0,Severe,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame",1159700
320,124,0,2970308,4,1,Rear-end,Dry,Clear,Two-wheeler,Comprehensive,0,3,44,Worn,1.0,1.0,1.0,0.6,1.15,Total Loss,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",401200
550,96,13,1075158,4,1,Rear-end,Wet,Rain,Truck,Comprehensive,0,1,39,Bald,1.0,1.3,1.25,1.5,1.35,Critical,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine",1176100
175,97,4,423257,3,1,Rear-end,Wet,Rain,SUV,Comprehensive,0,1,66,Bald,1.0,1.3,1.25,1.3,1.35,Critical,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine",757300
